"Source:","D:\hardware\cibio\ESPulse\Sensor board\Sensor board\Sensor board.kicad_sch"
"Date:","01/12/2022 15:11:50"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","12"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"J1, ","1","FH12-20S-0.5SH_55_","FH12-20S-0.5SH_55_","lsts-conn:FH12-20S-0.5SH_55_","FFC,0.5mm Pitch,Bottom Contact,20way Hirose FH12 Series 0.5mm Pitch 20 Way Right Angle SMT Female FPC Connector, ZIF Bottom Contact",""
"P1, ","1","HB1","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P2, ","1","HB2","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P3, ","1","HB3","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P4, ","1","HB4","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P5, ","1","HB6","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P6, ","1","HB7","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P7, ","1","HB8","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P8, ","1","HB9","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P9, ","1","HB5","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P10, ","1","HB10","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
"P11, ","1","Power Conn","CONN_3x1-lsts-conn","lsts-conn:Binder 720 3Pin","",""
